Entity A Type,Entity A,Entity B Type,Entity B,Connection,Source(s)
Organization,"THCR VENTURES, INC.",Organization,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
Organization,THCR/LP CORPORATION,Organization,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
Organization,THE BLACKSTONE GROUP,Organization,KUSHNER COMPANIES,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
Organization,THE BRIDGE BUILDER FUNDS,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,THE CARIBUSINESS RE CORP.,Organization,"CARIBUSINESS INVESTMENTS, S.R.L.",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE CARIBUSINESS RE CORP.,Organization,CARIBUSINESS MRE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE CORDISH COMPANIES,Organization,ENTERTAINMENT CONSULTING INTERNATIONAL,Subsidiary,http://www.thedailybeast.com/articles/2017/01/17/new-trump-adviser-being-sued-for-hiring-whites-to-attack-blacks.html
Organization,THE CORDISH COMPANIES,Organization,KUSHNER COMPANIES,Partner,http://www.kansascity.com/news/business/article125474789.html
Organization,THE DONALD J. TRUMP AND GRANTOR TRUST,Organization,BEACH HAVEN APT #1. INC.,Ownership (as of 2014 FEC filing),https://assets.documentcloud.org/documents/2178529/trump-searchable.pdf
Organization,THE DONALD J. TRUMP AND GRANTOR TRUST,Organization,"SHORE HAVEN APT#1, INC.",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE DONALD J. TRUMP REVOCABLE TRUST,Organization,DJT HOLDINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE DONALD J. TRUMP REVOCABLE TRUST,Organization,DJT HOLDINGS MANAGING MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE DONALD J. TRUMP REVOCABLE TRUST,Organization,THE DONALD J. TRUMP COMPANY LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE GRANTHAM FOUNDATION,Organization,THRIVE CAPITAL,Investor,http://990s.foundationcenter.org/990pf_pdf_archive/046/046856456/046856456_201412_990PF.pdf
Organization,THE HARTFORD,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,THE HARTFORD,Organization,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
Organization,THE HERITAGE FOUNDATION,Organization,HERITAGE ACTION FOR AMERICA,Sister organizations,http://heritageaction.com/about/
Organization,THE HERITAGE FOUNDATION,Person,PAUL WINFREE,Former director,https://www.documentcloud.org/documents/3534344-Winfree-Paul.html
Organization,THE LIBRE INITIATIVE,Person,ANDELIZ CASTILLO,Former COO and chief of staff,https://www.documentcloud.org/documents/3534453-Castillo-Andeliz.html
Organization,THE METROPOLITAN OPERA,Organization,KUSHNER COMPANIES,Tenant,http://www.crainsnewyork.com/article/20091213/SUB/312139993/for-the-record
Organization,THE MIAMI HERALD/EL NUEVO HERALD,Person,HELEN FERRE,Former columnist,https://www.documentcloud.org/documents/3534068-Ferre-Helen.html
Organization,THE TRUMP ENTREPRENEUR INITIATIVE LLC,Organization,TRUMP UNIVERSITY CA LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),Organization,THE TRUMP ENTREPRENEUR INITIATIVE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),Organization,"TRUMP EDUCATION ULC, NOVA SCOTIA",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE TRUMP FOLLIES MEMBER INC.,Organization,THE TRUMP FOLLIES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE TRUMP MARKS REAL ESTATE CORP.,Organization,TRUMP MARKS REAL ESTATE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,BAKU XXI CENTURY,Partnership,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,"CAP CANA, S.A.",Partnership,http://www.prnewswire.com/news-releases/trump-at-cap-cana-sells-350-million-of-residential-real-estate-in-one-day-event-58556067.html
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,"COLONY CAPITAL, INC.",Bid on the Old Post Office together,https://www.washingtonpost.com/news/digger/wp/2016/07/26/trumps-friend-tom-barrack-praised-him-at-the-rnc-convention-but-pulled-out-of-his-washington-hotel-project/?utm_term=.ce4ac94e4cfd
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,HOLBORN GROUP OF COMPANIES,Listed as partners on the Trump International Hotel & Tower in Vancouver,http://trumpvancouver.com/team.html
Organization,"THE TRUMP ORGANIZATION, INC.",Person,KEITH SCHILLER,Former director of security,https://www.documentcloud.org/documents/3534267-Schiller-Keith.html
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,KLAFTER & BURKE,"""First hired in 2006,"" per the Sun-Times",http://chicago.suntimes.com/politics/chicago-democratic-ward-boss-edward-burke-saved-donald-trump-16-7-million-on-trump-tower-taxes/
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,RUSSIAN-AMERICAN CHAMBER OF COMMERCE IN THE USA,"The chamber said it had ""signed formal agreements"" with the Trump Organization to ""jointly service the Russian clients’ commercial, residential and industrial real-estate needs,” in an April 2009 newsletter, according to the Financial Times",https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,SILK ROAD GROUP,Partnered on Trump Tower Batumi before the Trump Organization announced in early January 2017 that it was withdrawing from the project,https://www.bloomberg.com/news/articles/2017-01-04/trump-pulls-out-of-250-million-tower-plan-in-black-sea-resort
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,TA GLOBAL BERHAD,Listed as partners on the Trump International Hotel & Tower in Vancouver,http://trumpvancouver.com/team.html
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,TALON INTERNATIONAL DEVELOPMENT,Talon was the developer of Trump International Hotel & Tower in Toronto,http://www.mcclatchydc.com/news/politics-government/white-house/article125817784.html
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,THE TRUMP HOTEL CORPORATION,Former owner,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_token=3F81A7E41C11A39E834B3B02DCE2B43CCF8FCF572BD4E978D86F88DFA376C3EAD1EA407C3104FB63EE2A2171F1A4783F&p_nameid=856815D1B7C462C4&p_corpid=C7957BCEF43AC90E&p_captcha=14835&p_captcha_check=EC725823F1465104&p_entity_name=Trump%20Hotel&p_name_type=%25&p_search_type=CONTAINS&p_srch_results_page=0
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,TRUMP INTERNATIONAL GOLF CLUB SCOTLAND LIMITED,Ownership,http://www.bbc.com/news/uk-scotland-north-east-orkney-shetland-14923612
Organization,"THE TRUMP ORGANIZATION, INC.",Organization,TRUMP MORTGAGE LLC,Subsidiary,https://www.linkedin.com/in/e-j-ridings-6797ba9/
Organization,THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY,Organization,FIFTY-SEVENTH STREET ASSOCIATES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY,Organization,TRUMP TOWER COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,"THE VANGUARD GROUP, INC.",Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,"THE VANGUARD GROUP, INC.",Organization,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
Person,THEODORE BERMAN,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,THEODORE WILLIAM DARNELL,Organization,NITTO WORLD CO. LIMITED,Former director,https://beta.companieshouse.gov.uk/company/02124389/officers
Person,THEODORE WILLIAM DARNELL,Organization,SLC TURNBERRY LIMITED,Former director,https://beta.companieshouse.gov.uk/company/SC177810/officers
Person,THOMAS EDWIN JUNIOR DUPAR,Organization,NITTO WORLD CO. LIMITED,Former director,https://beta.companieshouse.gov.uk/company/02124389/officers
Person,THOMAS EDWIN JUNIOR DUPAR,Organization,SLC TURNBERRY LIMITED,Former director,https://beta.companieshouse.gov.uk/company/SC177810/officers
Person,THOMAS FUCHS,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,THOMAS HUTCHINSON,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,THOMAS J BASILE,Organization,RECLAIM NEW YORK,Consultant,https://www.documentcloud.org/documents/3540247-Reclaim-New-York-Form-990-46-3982730-2014-12.html
Person,THOMAS J. BARRACK JR.,Organization,"ACCOR, S.A.",Former board member,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,CARREFOUR S.A.,Board member,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,"COLONY CAPITAL, INC.",Former founder and executive chairman,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,"COLONY NORTHSTAR, INC.",Executive Chairman,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,COLONY STARWOOD HOMES,Co-chairman of the board of trustees,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,"CONTINENTAL AIRLINES, INC.",Former board member,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Federal Agency,DEPARTMENT OF THE INTERIOR,Former Deputy Undersecretary,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,FIRST REPUBLIC BANK,Board member,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,ROBERT M. BASS GROUP,Former principal,http://colonyinc.com/about#fulltext4
Person,THOMAS J. BARRACK JR.,Organization,UNIVERSITY OF SOUTHERN CALIFORNIA,Trustee,http://colonyinc.com/about#fulltext4
Person,THOMAS JOSEPH ROONEY,Organization,TOM ROONEY FOR CONGRESS,Official campaign committee,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL16022&tabIndex=1
Person,THOMAS M. SPARICO,Organization,THE ERIC TRUMP FOUNDATION,Director,http://990s.foundationcenter.org/990_pdf_archive/208/208669454/208669454_201412_990.pdf?_ga=1.174914721.26745521.1462996275
Person,THOMAS PETERFFY,Organization,"INTERACTIVE BROKERS GROUP, INC.","Founder, chairman, and CEO",https://www.interactivebrokers.com/en/index.php?f=564
Person,THOMAS PETERFFY,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,THOMAS PYLE,Organization,INSTITUTE FOR ENERGY RESEARCH,Former president,http://www.latimes.com/politics/la-na-pol-trump-kochs-climate-20161205-story.html
Person,THOMAS ULRICH BRECHBUHL,Organization,SYLVANUS PARTNERS LLC,Investor,http://www.sos.ks.gov/CM_ServiceWM/displaydocuments.aspx?DocID=00665111
Person,THOMAS ULRICH BRECHBUHL,Organization,"THAYER AEROSPACE CONSOLIDATED, INC.",Former CFO and board member,https://web.archive.org/web/20140517185835/http://www.bizjournals.com/wichita/stories/1998/12/14/story3.html?page=2 | http://www.sos.ks.gov/CM_ServiceWM/displaydocuments.aspx?DocID=00878389
Organization,THRIVE CAPITAL,Organization,42FLOORS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,ALBUMATIC,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,AND CO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,ARTSY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,BABY.COM.BR,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,BENCHLING,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,BONDSY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,CHAIN,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,CLASSPASS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,CODECADEMY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,COMPASS REAL ESTATE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,CUE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,DISPATCH.IO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,DWOLLA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,FAB.COM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,FIFTYTHREE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,FLATIRON SCHOOL,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,GIFTLY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,GITHUB,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,GLOSSIER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,GOBBLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,GREENHOUSE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,GROUPME,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,HARRY'S RAZOR COMPANY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,HIGHTOWER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,HONEST BUILDINGS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,HONOR,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,HOT POTATO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,HOWABOUTWE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,HYPERPUBLIC,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,IMBELLUS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,INSTACART,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,INSTAGRAM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,INTO THE GLOSS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Person,JARED KUSHNER,Former board member,https://www.documentcloud.org/documents/3534040-Kushner-Jared.html
Organization,THRIVE CAPITAL,Organization,JELLO LABS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,JET.COM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,JIBE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,JOYABLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,JUICERO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,JUMP RAMP GAMES,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,JUSTWORKS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,KICKSTARTER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,KINNEK,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,LATTICE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,LOLA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,MAKERBOT,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,MAPBOX,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,MAPLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,NASTY GAL,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,NEVERWARE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,ONSWIPE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,OOPA DESIGN,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,OPENDOOR,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,OPENGOV,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,ORCHARD PLATFORM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,OSCAR INSURANCE CORPORATION,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,PAPERLESS POST,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,PATREON,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,PITZI,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,REALCADRE LLC,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,RELATEIQ,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,RENTJUICE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,RESEARCHGATE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,ROOMORAMA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,SAILTHRU,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,SEGMENT.IO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,SHIFT LABS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,SIMPLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,SLACK TECHNOLOGIES,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,SPREE COMMERCE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,STRIPE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,TICKTAIL,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,TUTORSPREE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,TWITCH INTERACTIVE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,UNITY TECHNOLOGIES,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,VYCLONE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,WARBY PARKER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,WHISPER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,THRIVE CAPITAL,Organization,ZOLA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
Organization,TIAA-CREF,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Person,TIAH JOO KIM,Organization,HOLBORN GROUP OF COMPANIES,Former CEO and president,http://www.holborn.ca/portfolio-item/holborn-ta-global-bhd-and-trump-hotel-collection-launch-trump-international-hotel-tower-vancouver/
Person,TIAH JOO KIM,Organization,TA GLOBAL BERHAD,CEO,http://taglobal.com.my/ceo/
Person,TIAH JOO KIM,Person,TONY TIAH THEE KIAN,Parent/child,https://www.washingtonpost.com/classic-apps/high-rollers-risk-takers-and-rule-benders-donald-trumps-unorthodox-roster-of-overseas-business-partners/2017/01/13/73797ab6-cc37-11e6-b8a2-8c2a61b0436f_story.html?utm_term=.c2f475ce19c6
Person,TIFFANY ISAACS,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Organization,TIGL IRELAND ENTERPRISES LIMITED,Organization,TRUMP INTERNATIONAL GOLF LINKS - DOONBEG,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TIHH MEMBER CORP.,Organization,TRUMP INTERNATIONAL HOTEL HAWAII LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TIHH MEMBER LLC,Organization,TRUMP INTERNATIONAL HOTEL HAWAII LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TIHM MEMBER CORP.,Organization,TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TIHT CHICAGO MEMBER ACQUISITION LLC,Organization,401 MEZZ VENTURE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TIHT MEMBER LLC,Organization,TIHT COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,TIM MOL,Organization,CARLISLE MANAGEMENT,COO,http://cmclux.com/team/
Organization,TIMBER RIDGE HOMEOWNERS CORPORATION,Person,UTTAM DHILLON,Board member,https://www.documentcloud.org/documents/3534050-Dhillon-Uttam.html
Organization,TIPPERARY REALTY CORP.,Organization,THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TITAN ATLAS MANUFACTURING,Organization,TITAN ATLAS GLOBAL,"In Aug. 2013, TAG ""leases TAM’s building and equipment and attempts to market the same product line,"" according to The Post and Courier's timeline",http://www.postandcourier.com/timeline-trump-may-profit-on-son-s-failure/article_8b4e2248-e898-5d72-8c47-1f3e477117b8.html
Organization,"TMG MEMBER, LLC",Organization,TRUMP MODEL MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC CHARLOTTE LLC,Organization,TNGC CHARLOTTE MANAGER CORP.,Managing member,https://www.sosnc.gov/Search/profcorp/9859139
Organization,TNGC CHARLOTTE MANAGER CORP.,Organization,TRUMP NATIONAL GOLF CLUB - CHARLOTTE,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC DUTCHESS COUNTY LLC,Organization,TRUMP MARKS CLASSIC CARS LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC DUTCHESS COUNTY MEMBER CORP.,Organization,TRUMP MARKS CLASSIC CARS MEMBER CORP.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC DUTCHESS COUNTY MEMBER CORP.,Organization,TRUMP NATIONAL GOLF CLUB - HUDSON VALLEY,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC JUPITER MANAGING MEMBER CORP.,Organization,TNGC JUPITER MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC PINE HILL LLC,Organization,CREST COURT LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC PINE HILL LLC,Organization,TRUMP NATIONAL GOLF CLUB - PHILADELPHIA,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC PINE HILL MEMBER CORP.,Organization,CREST COURT MEMBER CORP.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,TNGC PINE HILL MEMBER CORP.,Organization,TRUMP NATIONAL GOLF CLUB - PHILADELPHIA,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,TODD CHRISTOPHER YOUNG,Organization,FRIENDS OF TODD YOUNG,Official campaign committee,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?&tabIndex=1&candidateCommitteeId=H0IN09070
Person,TOM BOSSERT,Organization,CIVIL DEFENSE SOLUTIONS,President,http://www.atlanticcouncil.org/about/experts/list/tom-bossert
Person,TOM BOSSERT,Organization,FEDERAL EMERGENCY MANAGEMENT AGENCY,Former employee,https://www.washingtonpost.com/news/post-politics/wp/2016/12/27/trump-names-bush-administration-veteran-thomas-bossert-to-white-house-homeland-security-post/?utm_term=.bd6b8bb7e9e8
Person,TOM BOSSERT,Organization,OBSIDIAN ANALYSIS INC.,Homeland security consulting services,https://www.documentcloud.org/documents/3533912-Bossert-Thomas.html
Person,TOM BOSSERT,Organization,OFFICE OF THE INDEPENDENT COUNSEL,Former employee,https://www.washingtonpost.com/news/post-politics/wp/2016/12/27/trump-names-bush-administration-veteran-thomas-bossert-to-white-house-homeland-security-post/?utm_term=.bd6b8bb7e9e8
Person,TOM BOSSERT,Organization,"RAFFETTO HERMAN STRATEGIC COMMUNICATIONS, LLC",Homeland security consulting services,https://www.documentcloud.org/documents/3533912-Bossert-Thomas.html
