Organization A,Organization B,Connection,Source(s)
TRUMP 845 UN MGR LLC,845 UN LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP AC CASINO MARKS MEMBER CORP.,TRUMP AC CASINO MARKS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP ACQUISITION CORP.,"TRUMP ACQUISITION, LLC",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP ATLANTIC CITY ASSOCIATES,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP ATLANTIC CITY CORPORATION,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP ATLANTIC CITY FUNDING II, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP ATLANTIC CITY FUNDING III, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP ATLANTIC CITY FUNDING, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP ATLANTIC CITY HOLDING, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP BOOKS MANAGER CORP.,TRUMP BOOKS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC,BRIAR HALL DEVELOPMENT LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CANOUAN ESTATE MEMBER CORP.,TRUMP CANOUAN ESTATE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CAROUSEL MEMBER CORP.,TRUMP CAROUSEL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP CASINO FUNDING, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP CASINO HOLDINGS, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP CENTRAL PARK WEST CORP.,ONE CENTRAL PARK WEST ASSOCIATES,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CHICAGO COMMERCIAL MEMBER CORP.,TRUMP CHICAGO COMMERCIAL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CHICAGO HOTEL MEMBER CORP.,TRUMP CHICAGO HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CHICAGO MANAGING MEMBER LLC,401 MEZZ VENTURE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CHICAGO MEMBER LLC,401 MEZZ VENTURE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CHICAGO RESIDENTIAL MEMBER CORP.,TRUMP CHICAGO RESIDENTIAL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CHICAGO RETAIL MEMBER CORP.,TRUMP CHICAGO RETAIL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CLASSIC CARS MEMBER CORP.,TRUMP CLASSIC CARS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP CPS CORP.,TRUMP CPS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP DELMONICO LLC,TRUMP PARK AVENUE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP DEVELOPMENT SERVICES MEMBER CORP.,TRUMP DEVELOPMENT SERVICES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP DRINKS ISRAEL HOLDINGS MEMBER CORP.,TRUMP DRINKS ISRAEL HOLDINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP DRINKS ISRAEL MEMBER CORP.,TRUMP DRINKS ISRAEL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP ENDEAVOR 12 LLC,TRUMP NATIONAL DORAL,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP ENDEAVOR 12 MANAGER CORP.,TRUMP NATIONAL DORAL,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP ENTERTAINMENT RESORTS, INC.","ICAHN ENTERPRISES, L.P.",Subsidiary,http://fortune.com/2016/03/10/trump-hotel-casinos-pay-failure/
"TRUMP ENTERTAINMENT RESORTS, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",NKA/FKA,http://fortune.com/2016/03/10/trump-hotel-casinos-pay-failure/
TRUMP EU MARKS MEMBER CORP.,TRUMP EU MARKS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP FERRY POINT MEMBER CORP.,TRUMP FERRY POINT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP FLORIDA MANAGER CORP.,TRUMP FLORIDA MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP GOLF COCO BEACH MEMBER CORP.,TRUMP GOLF COCO BEACH LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP HOME MARKS MEMBER CORP.,TRUMP HOME MARKS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP HOTELS & CASINO RESORTS DEVELOPMENT COMPANY, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP HOTELS & CASINO RESORTS FUNDING, INC.",THCR FUNDING,AKA,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP HOTELS & CASINO RESORTS FUNDING, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP HOTELS & CASINO RESORTS HOLDINGS, L.P.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP INDIANA CASINO MANAGEMENT, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP INDIANA REALTY, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP INDIANA, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP INTERNATIONAL DEVELOPMENT MEMBER CORP.,TRUMP INTERNATIONAL DEVELOPMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP INTERNATIONAL GOLF CLUB - FLORIDA,TRUMP INTERNATIONAL GOLF CLUB LC,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP INTERNATIONAL GOLF CLUB, INC.",TRUMP INTERNATIONAL GOLF CLUB - FLORIDA,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP INTERNATIONAL GOLF LINKS - DOONBEG,TIGL IRELAND MANAGEMENT LIMITED,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,THC CHINA DEVELOPMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,THC IMEA DEVELOPMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,TRUMP HOTEL COLLECTION,DBA,https://www.documentcloud.org/documents/3233891-TIHT-Chicago.html
"TRUMP INTERNET CASINO, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP KOREAN PROJECTS LLC,TRUMP KOREA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP LAS OLAS MEMBER CORP.,TRUMP LAS OLAS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP LAS VEGAS CORP.,TRUMP LAS VEGAS MANAGING MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP LAS VEGAS CORP.,TRUMP LAS VEGAS MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP LAS VEGAS MANAGING MEMBER LLC,TRUMP RUFFIN LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP LAS VEGAS MEMBER LLC,TRUMP RUFFIN LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP MARINA ASSOCIATES, L.P.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"TRUMP MARINA, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP MARKS ASIA CORP.,TRUMP MARKS ASIA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS ATLANTA MEMBER CORP.,TRUMP MARKS ATLANTA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS BAJA CORP.,TRUMP MARKS BAJA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS BATUMI MANAGING MEMBER CORP.,TRUMP MARKS BATUMI LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS BEVERAGES CORP.,TRUMP MARKS BEVERAGES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS CANOUAN CORP.,TRUMP MARKS CANOUAN LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS CHICAGO MEMBER CORP.,TRUMP MARKS CHICAGO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS DUBAI CORP.,TRUMP MARKS DUBAI LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS EGYPT CORP.,TRUMP MARKS EGYPT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS FINE FOODS MEMBER CORP.,TRUMP MARKS FINE FOODS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS FT. LAUDERDALE MEMBER CORP.,TRUMP MARKS FT. LAUDERDALE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS GP CORP.,"TRUMP MARKS HOLDINGS, L.P.",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP MARKS HOLDINGS, L.P.",TRUMP MARKS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP MARKS HOLDINGS, L.P.",TRUMP MARKS LP,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS HOLLYWOOD CORP.,TRUMP MARKS HOLLYWOOD LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS ISTANBUL II CORP.,TRUMP MARKS ISTANBUL II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS JERSEY CITY CORP.,TRUMP MARKS JERSEY CITY LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS LAS VEGAS CORP.,TRUMP MARKS LAS VEGAS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS MAGAZINE CORP.,TRUMP MARKS MAGAZINE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS MATTRESS MEMBER CORP.,TRUMP MARKS MATTRESS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS MENSWEAR MEMBER CORP.,TRUMP MARKS MENSWEAR LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS MORTGAGE CORP.,TRUMP MARKS MTG LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS MUMBAI MEMBER CORP.,TRUMP MARKS MUMBAI LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS NEW ROCHELLE CORP.,TRUMP MARKS NEW ROCHELLE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PALM BEACH CORP.,TRUMP MARKS PALM BEACH LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PANAMA CORP.,TRUMP MARKS PANAMA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PHILADELPHIA CORP.,TRUMP MARKS PHILADELPHIA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PHILIPPINES CORP.,TRUMP MARKS PHILIPPINES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PRODUCTS MEMBER CORP.,TRUMP MARKS PRODUCTS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PUERTO RICO I MEMBER CORP.,TRUMP MARKS PUERTO RICO I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PUERTO RICO II MEMBER CORP.,TRUMP MARKS PUERTO RICO II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS PUNTA DEL ESTE MANAGER CORP.,TRUMP MARKS PUNTA DEL ESTE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS SOHO LICENSE CORP.,TRUMP MARKS SOHO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS STAMFORD CORP.,TRUMP MARKS STAMFORD LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS SUNNY ISLES I MEMBER CORP.,TRUMP MARKS SUNNY ISLES I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS SUNNY ISLES II MEMBER CORP.,TRUMP MARKS SUNNY ISLES II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS TAMPA CORP.,TRUMP MARKS TAMPA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS TORONTO CORP.,TRUMP MARKS TORONTO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS TORONTO LP,TRUMP TORONTO MANAGEMENT LP,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS WAIKIKI CORP.,TRUMP MARKS WAIKIKI LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS WESTCHESTER CORP.,TRUMP MARKS WESTCHESTER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MARKS WHITE PLAINS CORP.,TRUMP MARKS WHITE PLAINS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP MIAMI RESORT MANAGEMENT MEMBER CORP.,TRUMP MIAMI RESORT MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP NATIONAL GOLF CLUB - LOS ANGELES,VHPS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP NATIONAL GOLF CLUB COLTS NECK MEMBER CORP.,TRUMP NATIONAL GOLF CLUB - COLTS NECK,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP NATIONAL GOLF CLUB LLC,TRUMP NATIONAL GOLF CLUB - WESTCHESTER,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP NATIONAL GOLF CLUB MEMBER CORP.,TRUMP NATIONAL GOLF CLUB - WESTCHESTER,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP NATIONAL GOLF CLUB WASHINGTON DC MEMBER CORP.,TRUMP NATIONAL GOLF CLUB WASHINGTON DC LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP OCEAN MANAGER, INC.",TRUMP OCEAN MANAGING MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP OCEAN MANAGING MEMBER LLC,TRUMP ON THE OCEAN LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP OLD POST OFFICE MEMBER CORP.,TRUMP OLD POST OFFICE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP ORGANIZATION LLC,BAYROCK GROUP,Partnership,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
TRUMP ORGANIZATION LLC,"BLACK, MANAFORT, STONE AND KELLY",Lobbied for,https://www.washingtonpost.com/news/powerpost/wp/2016/04/07/from-ukraine-to-trump-tower-paul-manafort-unafraid-to-take-on-controversial-jobs/?utm_term=.86b3fa6dfbe1
TRUMP ORGANIZATION LLC,CENDYN,Cendyn did interactive marketing for Trump Organization,http://www.prnewswire.com/news-releases/cendyn-is-tapped-for-interactive-marketing-services-by-the-trump-organization-58251682.html
TRUMP ORGANIZATION LLC,CENTURY PROPERTIES,Partnership on Trump Tower Century City (also known as Trump Tower Manila),http://www.newsweek.com/2016/12/23/donald-trump-foreign-business-deals-jeopardize-us-531140.html | https://qz.com/886230/trumps-new-manila-skyscraper-will-exude-luxury-and-showcase-his-conflicts-of-interest/
TRUMP ORGANIZATION LLC,DAMAC GROUP,Business partnership,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
TRUMP ORGANIZATION LLC,DOGAN GROUP,Business partnership,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
TRUMP ORGANIZATION LLC,DORYA INTERNATIONAL,Partnership,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
TRUMP ORGANIZATION LLC,DRINKS AMERICAS,Partnered on Trump Vodka,http://www.trump.com/getmedia/4ac35c82-72a8-4379-88d7-529e2135575c/Trump_Vodka_Award/
TRUMP ORGANIZATION LLC,IREO,Business partnership,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
TRUMP ORGANIZATION LLC,MNC GROUP,Business partnership,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
TRUMP ORGANIZATION LLC,MOS CITY GROUP,"Began negotiations, but they fell through",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
TRUMP ORGANIZATION LLC,NAKHEEL LLC,Business partnership,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
TRUMP ORGANIZATION LLC,PANCHSHIL REALTY,Partners on Trump Towers Pune,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
TRUMP ORGANIZATION LLC,SAPIR ORGANIZATION,Builder,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
TRUMP ORGANIZATION LLC,TRIBECA DEVELOPERS OF MUMBAI,"""development partner in India,"" per New York Times",http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
TRUMP ORGANIZATION LLC,"TRUMP MARKS MMA, LLC",Ownership,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_token=FCF3AF1A67B36BF38E2D858FF0B4A308FA9A433EE6B13531A6AFCAAA1E3DFCB4AD7888E4E00181AE9AB3BFEAC19E9710&p_nameid=2B97A46A213B3724&p_corpid=025BFCAD4F766453&p_captcha=18680&p_captcha_check=0CC929FA44E75A04&p_entity_name=trump%20marks%20mma&p_name_type=%25&p_search_type=CONTAINS&p_srch_results_page=0
TRUMP ORGANIZATION LLC,YUN CAPITAL,"""an investment firm involved in Trump Organization projects abroad,"" per New York Times",http://www.nytimes.com/2016/12/04/us/politics/trump-family-ivanka-donald-jr.html
"TRUMP PAGEANTS, INC.","MISS UNIVERSE L.P., LLLP",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP PANAMA CONDOMINIUM MEMBER CORP.,"TRUMP PANAMA CONDOMINIUM MANAGEMENT, LLC",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP PANAMA HOTEL MANAGEMENT MEMBER CORP.,TRUMP PANAMA HOTEL MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP PARK AVENUE ACQUISITION LLC,TRUMP PARK AVENUE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP PLAZA ASSOCIATES,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP PLAZA MEMBER INC.,TRUMP PLAZA CORP.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP PLAZA MEMBER INC.,TRUMP PLAZA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP PRODUCTIONS LLC,RANCHO LIEN LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP PRODUCTIONS MANAGING MEMBER, INC.",TRUMP PRODUCTIONS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP REALTY SERVICES, LLC",TOWER MORTGAGE SERVICES LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP REALTY SERVICES, LLC",TRUMP MORTGAGE SERVICES LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP RIVERSIDE MANAGEMENT LLC,"TRUMP/NEW WORLD PROPERTY MANAGEMENT, LLC",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP RUFFIN LLC,TRUMP RUFFIN TOWER I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP RUFFIN TOWER I LLC,TRUMP RUFFIN COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP SALES & LEASING CHICAGO MEMBER CORP.,TRUMP SALES & LEASING CHICAGO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP SCOTLAND MEMBER INC,TRUMP INTERNATIONAL GOLF LINKS - SCOTLAND,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP SCOTSBOROUGH SQUARE MEMBER CORP.,TRUMP SCOTSBOROUGH SQUARE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP TAJ MAHAL ASSOCIATES,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
TRUMP TORONTO MEMBER CORP.,TRUMP MARKS TORONTO LP,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP TORONTO MEMBER CORP.,TRUMP TORONTO MANAGEMENT MEMBER CORP.,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"TRUMP TOWER MANAGING MEMBER, INC.",TRUMP TOWER COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP TURNBERRY,NITTO WORLD CO. LIMITED,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP VINEYARD ESTATES LLC,TRUMP VINEYARD ESTATES LOT 3 OWNER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP VINEYARD ESTATES LOT 3 OWNER LLC,ERIC TRUMP LAND HOLDINGS LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP VINEYARD ESTATES MANAGER CORP.,TRUMP VINEYARD ESTATES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP VIRGINIA ACQUISITIONS LLC,VIRGINIA ACQUISITIONS LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP VIRGINIA ACQUISITIONS MANAGER CORP.,TRUMP VIRGINIA ACQUISITIONS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
